ID,Predicted
000,0.08725578
001,0.72332305
002,0.99972564
003,0.01262032
004,0.8291808
005,0.9610187
006,0.14830913
007,0.9785196
008,0.9938658
009,0.99845123
010,0.0801511
011,0.9967542
012,0.049361303
013,0.7515411
014,0.80861264
015,0.13228154
016,0.00707673
017,0.9960706
018,0.2829074
019,0.98440427
020,0.99668473
021,0.9038341
022,0.7365896
023,0.99998593
024,0.9763465
025,0.38322872
026,0.7856568
027,0.1483105
028,0.09488286
029,0.071316406
030,0.1362704
031,0.05196843
032,0.9933515
033,0.97754014
034,0.53749204
035,0.023811728
036,0.9999796
037,0.9525514
038,0.048452586
039,0.9710017
040,0.031603467
041,0.15447083
042,0.9494929
043,0.9937605
044,0.7505366
045,0.13957247
046,0.9707521
047,0.53749204
048,0.5779133
049,0.9084494
050,0.9003426
051,0.8429438
052,0.122964576
053,0.9949778
054,0.9000525
055,0.19728266
056,0.00560868
057,0.9598923
058,0.91700584
059,0.92819524
060,0.016383134
061,0.99898297
062,0.94772255
063,0.11210701
064,0.99226403
065,0.8097307
066,0.24728025
067,0.55471873
068,0.053564653
069,0.9999933
070,0.0016195355
071,0.033457126
072,0.9998925
073,0.91074103
074,0.71463966
075,0.945767
076,0.9115042
077,0.06750027
078,0.7350268
079,0.13650729
080,0.002729562
081,0.79253304
082,0.83964384
083,0.88451475
084,0.76934946
085,0.053164262
086,0.8618752
087,0.60694134
088,0.022568626
089,0.3463462
090,0.9857772
091,0.24470638
092,0.06533798
093,0.039540663
094,0.2601293
095,0.028935684
096,0.99679947
097,0.9902227
098,0.10843511
099,0.99999774
100,0.21859477
101,0.035759684
102,0.58256984
103,0.26842058
104,0.9828567
105,0.06631669
106,0.96488833
107,0.9568704
108,0.12097864
109,0.08292569
110,0.9966593
111,0.058697835
112,0.8970683
113,0.15230627
114,0.12722394
115,0.5202949
116,0.5150682
117,0.9576267
118,0.9063784
119,0.9931579
120,0.8524081
121,0.0038303705
122,0.9287331
123,0.9943117
124,0.999268
125,0.075142786
126,0.0010505129
127,0.37381917
128,0.16171469
129,0.3500958
130,0.45119867
131,9.1632046e-07
132,0.9985121
133,0.26235572
134,0.8986817
135,0.10810231
136,0.93884254
137,0.14140666
138,0.088277966
139,0.26102716
140,0.8469952
141,0.9836231
142,0.7340598
143,0.9489601
144,0.9609459
145,0.08824041
146,0.3870489
147,0.99194217
148,0.14599228
149,0.08978485
150,0.6358931
151,0.96203053
152,0.758472
153,0.04602751
